Epoch,Train Loss,Train Acc,Train Precision,Train Recall,Train F1,Val Loss,Val Acc,Val Precision,Val Recall,Val F1
1,0.04384577771027883,32.291666666666664,0.3232323229312897,0.3229166567325592,0.32291150093078613,1.1066713333129883,33.333333333333336,0.2222222238779068,0.3333333432674408,0.2490842640399933
2,0.06048384681344032,28.125,0.2803587019443512,0.28125,0.2798251807689667,1.1134839057922363,33.333333333333336,0.2222222238779068,0.3333333432674408,0.2490842640399933
3,0.041276401529709496,28.125,0.1875,0.28125,0.22499999403953552,1.1055508852005005,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
4,0.03503876303633054,27.083333333333332,0.24953705072402954,0.2708333432674408,0.25327956676483154,1.109849452972412,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
5,0.03576865171392759,29.166666666666668,0.2573397755622864,0.2916666865348816,0.2669813632965088,1.0960545539855957,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
6,0.034633866200844445,31.25,0.32907113432884216,0.3125,0.232108011841774,1.1003087759017944,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
7,0.034977411230405174,26.041666666666668,0.1794726848602295,0.2604166567325592,0.20713695883750916,1.1021583080291748,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
8,0.03527050589521726,36.458333333333336,0.4922902584075928,0.3645833432674408,0.33733734488487244,1.0917490720748901,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
9,0.034938650826613106,31.25,0.20092914998531342,0.3125,0.21001780033111572,1.1004401445388794,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
10,0.03472242007652918,31.25,0.3088637590408325,0.3125,0.2883840501308441,1.083593487739563,50.0,0.6481481790542603,0.5,0.44957268238067627
11,0.03377843275666237,38.541666666666664,0.3926064968109131,0.3854166865348816,0.3872503638267517,1.0951560735702515,41.666666666666664,0.4545454680919647,0.4166666865348816,0.31111112236976624
12,0.03467088316877683,35.416666666666664,0.4531477987766266,0.3541666567325592,0.3100021779537201,1.113004446029663,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
13,0.0340347612897555,35.416666666666664,0.37902623414993286,0.3541666567325592,0.23736132681369781,1.03225576877594,50.0,0.37037038803100586,0.5,0.3956044018268585
14,0.03396535540620486,32.291666666666664,0.3706524670124054,0.3229166865348816,0.32679831981658936,1.074764609336853,33.333333333333336,0.20952382683753967,0.3333333432674408,0.255892276763916
15,0.03286873176693916,44.791666666666664,0.4674319624900818,0.4479166567325592,0.42935711145401,1.4181452989578247,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
16,0.03623934959371885,44.791666666666664,0.4568106532096863,0.4479166865348816,0.4381425976753235,1.1561757326126099,33.333333333333336,0.1111111119389534,0.3333333432674408,0.1666666716337204
17,0.033811972786982857,42.708333333333336,0.4747474789619446,0.4270833134651184,0.36148932576179504,1.0464242696762085,66.66666666666667,0.6722221970558167,0.6666666865348816,0.6626983880996704
